Time,Amplitude
0.0575,3.34E-02
0.058,3.39E-02
0.0585,3.44E-02
0.059,3.50E-02
0.0595,3.55E-02
0.06,3.61E-02
0.0605,3.66E-02
0.061,3.72E-02
0.0615,3.78E-02
0.062,3.83E-02
0.0625,3.89E-02
0.063,3.95E-02
0.0635,4.01E-02
0.064,4.08E-02
0.0645,4.14E-02
0.065,4.20E-02
0.0655,4.27E-02
0.066,4.33E-02
0.0665,4.40E-02
0.067,4.47E-02
0.0675,4.54E-02
0.068,4.61E-02
0.0685,4.68E-02
0.069,4.75E-02
0.0695,4.82E-02
0.07,4.90E-02
0.0705,4.97E-02
0.071,5.04E-02
0.0715,5.11E-02
0.072,5.18E-02
0.0725,5.24E-02
0.073,5.30E-02
0.0735,5.36E-02
0.074,5.41E-02
0.0745,5.45E-02
0.075,5.47E-02
0.0755,5.48E-02
0.076,5.47E-02
0.0765,5.43E-02
0.077,5.36E-02
0.0775,5.24E-02
0.078,5.07E-02
0.0785,4.84E-02
0.079,4.53E-02
0.0795,4.11E-02
0.08,3.58E-02
0.0805,2.90E-02
0.081,2.06E-02
0.0815,1.04E-02
0.082,-1.79E-03
0.0825,-1.57E-02
0.083,-3.09E-02
0.0835,-4.64E-02
0.084,-6.06E-02
0.0845,-7.17E-02
0.085,-7.78E-02
0.0855,-7.76E-02
0.086,-7.04E-02
0.0865,-5.58E-02
0.087,-3.34E-02
0.0875,-2.18E-03
0.088,4.09E-02
0.0885,1.03E-01
0.089,2.00E-01
0.0895,3.57E-01
0.09,5.40E-01
0.0905,5.75E-01
0.091,4.85E-01
0.0915,3.81E-01
0.092,2.96E-01
0.0925,2.30E-01
0.093,1.80E-01
0.0935,1.41E-01
0.094,1.11E-01
0.0945,8.59E-02
0.095,6.57E-02
0.0955,4.87E-02
0.096,3.43E-02
0.0965,2.18E-02
0.097,1.06E-02
0.0975,5.17E-04
0.098,-8.91E-03
0.0985,-1.79E-02
0.099,-2.68E-02
0.0995,-3.58E-02
0.1,-4.51E-02
0.1005,-5.52E-02
0.101,-6.61E-02
0.1015,-7.81E-02
0.102,-9.16E-02
0.1025,-1.07E-01
0.103,-1.23E-01
0.1035,-1.41E-01
0.104,-1.60E-01
0.1045,-1.79E-01
0.105,-1.96E-01
0.1055,-2.09E-01
0.106,-2.19E-01
0.1065,-2.24E-01
0.107,-2.24E-01
0.1075,-2.19E-01
0.108,-2.11E-01
0.1085,-1.99E-01
0.109,-1.86E-01
0.1095,-1.72E-01
0.11,-1.57E-01
0.1105,-1.41E-01
0.111,-1.26E-01
0.1115,-1.11E-01
0.112,-9.56E-02
0.1125,-8.10E-02
0.113,-6.67E-02
0.1135,-5.27E-02
0.114,-3.90E-02
0.1145,-2.54E-02
0.115,-1.21E-02
0.1155,1.18E-03
0.116,1.43E-02
0.1165,2.74E-02
0.117,4.03E-02
0.1175,5.31E-02
0.118,6.57E-02
0.1185,7.77E-02
0.119,8.92E-02
0.1195,9.97E-02
0.12,1.09E-01
0.1205,1.17E-01
0.121,1.23E-01
0.1215,1.27E-01
0.122,1.29E-01
0.1225,1.30E-01
0.123,1.29E-01
0.1235,1.26E-01
0.124,1.22E-01
0.1245,1.18E-01
0.125,1.13E-01
0.1255,1.07E-01
0.126,1.01E-01
0.1265,9.57E-02
0.127,9.02E-02
0.1275,8.49E-02
0.128,7.99E-02
0.1285,7.52E-02
0.129,7.08E-02
0.1295,6.67E-02
0.13,6.30E-02
0.1305,5.96E-02
0.131,5.65E-02
0.1315,5.37E-02
0.132,5.11E-02
0.1325,4.88E-02
0.133,4.67E-02
0.1335,4.47E-02
0.134,4.29E-02
0.1345,4.13E-02
0.135,3.97E-02
0.1355,3.81E-02
0.136,3.65E-02
0.1365,3.48E-02
0.137,3.30E-02
0.1375,3.09E-02
0.138,2.85E-02
0.1385,2.56E-02
0.139,2.21E-02
0.1395,1.79E-02
0.14,1.27E-02
0.1405,6.48E-03
0.141,-9.83E-04
0.1415,-9.81E-03
0.142,-2.00E-02
0.1425,-3.15E-02
0.143,-4.38E-02
0.1435,-5.62E-02
0.144,-6.76E-02
0.1445,-7.67E-02
0.145,-8.21E-02
0.1455,-8.28E-02
0.146,-7.81E-02
0.1465,-6.76E-02
0.147,-5.13E-02
0.1475,-2.87E-02
0.148,1.03E-03
0.1485,4.01E-02
0.149,9.34E-02
0.1495,1.70E-01
0.15,2.85E-01
0.1505,4.34E-01
0.151,5.22E-01
0.1515,4.87E-01
0.152,4.02E-01
0.1525,3.19E-01
0.153,2.51E-01
0.1535,1.97E-01
0.154,1.56E-01
0.1545,1.23E-01
0.155,9.60E-02
0.1555,7.43E-02
0.156,5.63E-02
0.1565,4.09E-02
0.157,2.76E-02
0.1575,1.57E-02
0.158,4.74E-03
0.1585,-5.58E-03
0.159,-1.57E-02
0.1595,-2.58E-02
0.16,-3.65E-02
0.1605,-4.80E-02
0.161,-6.07E-02
0.1615,-7.50E-02
0.162,-9.13E-02
0.1625,-1.10E-01
0.163,-1.30E-01
0.1635,-1.53E-01
0.164,-1.76E-01
0.1645,-1.97E-01
0.165,-2.16E-01
0.1655,-2.29E-01
0.166,-2.35E-01
0.1665,-2.36E-01
0.167,-2.31E-01
0.1675,-2.21E-01
0.168,-2.08E-01
0.1685,-1.93E-01
0.169,-1.76E-01
0.1695,-1.59E-01
0.17,-1.42E-01
0.1705,-1.25E-01
0.171,-1.08E-01
0.1715,-9.15E-02
0.172,-7.53E-02
0.1725,-5.95E-02
0.173,-4.39E-02
0.1735,-2.86E-02
0.174,-1.33E-02
0.1745,1.91E-03
0.175,1.71E-02
0.1755,3.24E-02
0.176,4.76E-02
0.1765,6.27E-02
0.177,7.75E-02
0.1775,9.18E-02
0.178,1.05E-01
0.1785,1.17E-01
0.179,1.27E-01
0.1795,1.35E-01
0.18,1.40E-01
0.1805,1.43E-01
0.181,1.43E-01
0.1815,1.41E-01
0.182,1.37E-01
0.1825,1.32E-01
0.183,1.26E-01
0.1835,1.19E-01
0.184,1.12E-01
0.1845,1.05E-01
0.185,9.86E-02
0.1855,9.21E-02
0.186,8.58E-02
0.1865,8.00E-02
0.187,7.45E-02
0.1875,6.95E-02
0.188,6.48E-02
0.1885,6.06E-02
0.189,5.67E-02
0.1895,5.32E-02
0.19,5.00E-02
0.1905,4.71E-02
0.191,4.46E-02
0.1915,4.23E-02
0.192,4.03E-02
0.1925,3.85E-02
0.193,3.70E-02
0.1935,3.56E-02
0.194,3.45E-02
0.1945,3.36E-02
0.195,3.28E-02
0.1955,3.22E-02
0.196,3.17E-02
0.1965,3.13E-02
0.197,3.10E-02
0.1975,3.08E-02
0.198,3.07E-02
0.1985,3.06E-02
0.199,3.05E-02
0.1995,3.04E-02
0.2,3.03E-02
0.2005,3.01E-02
0.201,2.97E-02
0.2015,2.92E-02
0.202,2.84E-02
0.2025,2.73E-02
0.203,2.57E-02
0.2035,2.37E-02
0.204,2.11E-02
0.2045,1.77E-02
0.205,1.34E-02
0.2055,8.24E-03
0.206,1.99E-03
0.2065,-5.32E-03
0.207,-1.36E-02
0.2075,-2.26E-02
0.208,-3.19E-02
0.2085,-4.07E-02
0.209,-4.82E-02
0.2095,-5.32E-02
0.21,-5.46E-02
0.2105,-5.16E-02
0.211,-4.35E-02
0.2115,-2.96E-02
0.212,-9.30E-03
0.2125,1.88E-02
0.213,5.71E-02
0.2135,1.11E-01
0.214,1.90E-01
0.2145,3.07E-01
0.215,4.50E-01
0.2155,5.20E-01
0.216,4.75E-01
0.2165,3.90E-01
0.217,3.08E-01
0.2175,2.42E-01
0.218,1.90E-01
0.2185,1.50E-01
0.219,1.17E-01
0.2195,9.11E-02
0.22,6.96E-02
0.2205,5.13E-02
0.221,3.54E-02
0.2215,2.10E-02
0.222,7.33E-03
0.2225,-6.16E-03
0.223,-2.02E-02
0.2235,-3.54E-02
0.224,-5.25E-02
0.2245,-7.25E-02
0.225,-9.61E-02
0.2255,-1.24E-01
0.226,-1.56E-01
0.2265,-1.90E-01
0.227,-2.24E-01
0.2275,-2.52E-01
0.228,-2.71E-01
0.2285,-2.79E-01
0.229,-2.77E-01
0.2295,-2.67E-01
0.23,-2.52E-01
0.2305,-2.34E-01
0.231,-2.14E-01
0.2315,-1.93E-01
0.232,-1.72E-01
0.2325,-1.52E-01
0.233,-1.32E-01
0.2335,-1.13E-01
0.234,-9.48E-02
0.2345,-7.72E-02
0.235,-6.01E-02
0.2355,-4.33E-02
0.236,-2.68E-02
0.2365,-1.05E-02
0.237,5.82E-03
0.2375,2.21E-02
0.238,3.85E-02
0.2385,5.47E-02
0.239,7.08E-02
0.2395,8.63E-02
0.24,1.01E-01
0.2405,1.14E-01
0.241,1.26E-01
0.2415,1.35E-01
0.242,1.42E-01
0.2425,1.46E-01
0.243,1.47E-01
0.2435,1.47E-01
0.244,1.44E-01
0.2445,1.40E-01
0.245,1.34E-01
0.2455,1.28E-01
0.246,1.22E-01
0.2465,1.15E-01
0.247,1.08E-01
0.2475,1.02E-01
0.248,9.54E-02
0.2485,8.92E-02
0.249,8.33E-02
0.2495,7.77E-02
0.25,7.24E-02
0.2505,6.75E-02
0.251,6.28E-02
0.2515,5.85E-02
0.252,5.45E-02
0.2525,5.07E-02
0.253,4.73E-02
0.2535,4.41E-02
0.254,4.12E-02
0.2545,3.85E-02
0.255,3.60E-02
0.2555,3.38E-02
0.256,3.18E-02
0.2565,2.99E-02
0.257,2.83E-02
0.2575,2.68E-02
0.258,2.54E-02
0.2585,2.42E-02
0.259,2.32E-02
0.2595,2.22E-02
0.26,2.14E-02
0.2605,2.08E-02
0.261,2.02E-02
0.2615,1.97E-02
0.262,1.93E-02
0.2625,1.90E-02
0.263,1.88E-02
0.2635,1.87E-02
0.264,1.86E-02
0.2645,1.87E-02
0.265,1.88E-02
0.2655,1.89E-02
0.266,1.91E-02
0.2665,1.94E-02
0.267,1.98E-02
0.2675,2.02E-02
0.268,2.06E-02
0.2685,2.11E-02
0.269,2.17E-02
0.2695,2.23E-02
0.27,2.30E-02
0.2705,2.37E-02
0.271,2.44E-02
0.2715,2.52E-02
0.272,2.61E-02
0.2725,2.69E-02
0.273,2.79E-02
0.2735,2.88E-02
0.274,2.98E-02
0.2745,3.09E-02
0.275,3.19E-02
0.2755,3.30E-02
0.276,3.41E-02
0.2765,3.53E-02
0.277,3.65E-02
0.2775,3.76E-02
0.278,3.88E-02
0.2785,4.00E-02
0.279,4.12E-02
0.2795,4.24E-02
0.28,4.35E-02
0.2805,4.46E-02
0.281,4.55E-02
0.2815,4.64E-02
0.282,4.72E-02
0.2825,4.78E-02
0.283,4.81E-02
0.2835,4.82E-02
0.284,4.79E-02
0.2845,4.72E-02
0.285,4.60E-02
0.2855,4.41E-02
0.286,4.14E-02
0.2865,3.77E-02
0.287,3.29E-02
0.2875,2.68E-02
0.288,1.92E-02
0.2885,1.01E-02
0.289,-5.91E-04
0.2895,-1.26E-02
0.29,-2.53E-02
0.2905,-3.78E-02
0.291,-4.87E-02
0.2915,-5.66E-02
0.292,-5.98E-02
0.2925,-5.72E-02
0.293,-4.80E-02
0.2935,-3.16E-02
0.294,-7.07E-03
0.2945,2.77E-02
0.295,7.71E-02
0.2955,1.51E-01
0.296,2.69E-01
0.2965,4.42E-01
0.297,5.66E-01
0.2975,5.29E-01
0.298,4.30E-01
0.2985,3.36E-01
0.299,2.61E-01
0.2995,2.03E-01
0.3,1.59E-01
0.3005,1.24E-01
0.301,9.65E-02
0.3015,7.40E-02
0.302,5.52E-02
0.3025,3.93E-02
0.303,2.53E-02
0.3035,1.28E-02
0.304,1.18E-03
0.3045,-9.98E-03
0.305,-2.11E-02
0.3055,-3.26E-02
0.306,-4.50E-02
0.3065,-5.86E-02
0.307,-7.40E-02
0.3075,-9.16E-02
0.308,-1.12E-01
0.3085,-1.35E-01
0.309,-1.60E-01
0.3095,-1.85E-01
0.31,-2.10E-01
0.3105,-2.30E-01
0.311,-2.45E-01
0.3115,-2.52E-01
0.312,-2.52E-01
0.3125,-2.46E-01
0.313,-2.35E-01
0.3135,-2.21E-01
0.314,-2.04E-01
0.3145,-1.87E-01
0.315,-1.69E-01
0.3155,-1.51E-01
0.316,-1.33E-01
0.3165,-1.16E-01
0.317,-9.95E-02
0.3175,-8.34E-02
0.318,-6.78E-02
0.3185,-5.26E-02
0.319,-3.77E-02
0.3195,-2.31E-02
0.32,-8.66E-03
0.3205,5.65E-03
0.321,1.99E-02
0.3215,3.40E-02
0.322,4.79E-02
0.3225,6.16E-02
0.323,7.49E-02
0.3235,8.75E-02
0.324,9.91E-02
0.3245,1.09E-01
0.325,1.18E-01
0.3255,1.25E-01
0.326,1.30E-01
0.3265,1.32E-01
0.327,1.33E-01
0.3275,1.32E-01
0.328,1.29E-01
0.3285,1.26E-01
0.329,1.21E-01
0.3295,1.16E-01
0.33,1.10E-01
0.3305,1.04E-01
0.331,9.85E-02
0.3315,9.28E-02
0.332,8.73E-02
0.3325,8.20E-02
0.333,7.69E-02
0.3335,7.22E-02
0.334,6.78E-02
0.3345,6.37E-02
0.335,5.98E-02
0.3355,5.63E-02
0.336,5.31E-02
0.3365,5.01E-02
0.337,4.74E-02
0.3375,4.50E-02
0.338,4.28E-02
0.3385,4.08E-02
0.339,3.90E-02
0.3395,3.75E-02
0.34,3.61E-02
0.3405,3.49E-02
0.341,3.39E-02
0.3415,3.30E-02
0.342,3.23E-02
0.3425,3.18E-02
0.343,3.13E-02
0.3435,3.10E-02
0.344,3.09E-02
0.3445,3.08E-02
0.345,3.08E-02
0.3455,3.10E-02
0.346,3.12E-02
0.3465,3.15E-02
0.347,3.19E-02
0.3475,3.23E-02
0.348,3.29E-02
0.3485,3.34E-02
0.349,3.40E-02
0.3495,3.47E-02
0.35,3.53E-02
0.3505,3.60E-02
0.351,3.66E-02
0.3515,3.72E-02
0.352,3.77E-02
0.3525,3.82E-02
0.353,3.84E-02
0.3535,3.85E-02
0.354,3.83E-02
0.3545,3.77E-02
0.355,3.68E-02
0.3555,3.54E-02
0.356,3.33E-02
0.3565,3.05E-02
0.357,2.68E-02
0.3575,2.21E-02
0.358,1.62E-02
0.3585,9.11E-03
0.359,7.55E-04
0.3595,-8.72E-03
0.36,-1.90E-02
0.3605,-2.94E-02
0.361,-3.90E-02
0.3615,-4.67E-02
0.362,-5.12E-02
0.3625,-5.14E-02
0.363,-4.61E-02
0.3635,-3.48E-02
0.364,-1.66E-02
0.3645,9.55E-03
0.365,4.62E-02
0.3655,9.82E-02
0.366,1.76E-01
0.3665,2.96E-01
0.367,4.54E-01
0.3675,5.43E-01
0.368,4.97E-01
0.3685,4.05E-01
0.369,3.18E-01
0.3695,2.49E-01
0.37,1.94E-01
0.3705,1.52E-01
0.371,1.19E-01
0.3715,9.23E-02
0.372,7.05E-02
0.3725,5.20E-02
0.373,3.61E-02
0.3735,2.18E-02
0.374,8.56E-03
0.3745,-4.28E-03
0.375,-1.73E-02
0.3755,-3.10E-02
0.376,-4.62E-02
0.3765,-6.35E-02
0.377,-8.36E-02
0.3775,-1.07E-01
0.378,-1.34E-01
0.3785,-1.65E-01
0.379,-1.97E-01
0.3795,-2.27E-01
0.38,-2.51E-01
0.3805,-2.67E-01
0.381,-2.73E-01
0.3815,-2.70E-01
0.382,-2.60E-01
0.3825,-2.45E-01
0.383,-2.28E-01
0.3835,-2.08E-01
0.384,-1.88E-01
0.3845,-1.68E-01
0.385,-1.49E-01
0.3855,-1.30E-01
0.386,-1.12E-01
0.3865,-9.41E-02
0.387,-7.70E-02
0.3875,-6.05E-02
0.388,-4.44E-02
0.3885,-2.86E-02
0.389,-1.30E-02
0.3895,2.51E-03
0.39,1.80E-02
0.3905,3.34E-02
0.391,4.87E-02
0.3915,6.38E-02
0.392,7.85E-02
0.3925,9.25E-02
0.393,1.05E-01
0.3935,1.17E-01
0.394,1.26E-01
0.3945,1.33E-01
0.395,1.38E-01
0.3955,1.41E-01
0.396,1.41E-01
0.3965,1.39E-01
0.397,1.36E-01
0.3975,1.32E-01
0.398,1.27E-01
0.3985,1.21E-01
0.399,1.15E-01
0.3995,1.08E-01
0.4,1.02E-01
0.4005,9.61E-02
0.401,9.02E-02
0.4015,8.45E-02
0.402,7.91E-02
0.4025,7.40E-02
0.403,6.92E-02
0.4035,6.46E-02
0.404,6.04E-02
0.4045,5.65E-02
0.405,5.28E-02
0.4055,4.95E-02
0.406,4.64E-02
0.4065,4.35E-02
0.407,4.09E-02
0.4075,3.85E-02
0.408,3.63E-02
0.4085,3.44E-02
0.409,3.26E-02
0.4095,3.10E-02
0.41,2.95E-02
0.4105,2.83E-02
0.411,2.71E-02
0.4115,2.61E-02
0.412,2.53E-02
0.4125,2.45E-02
0.413,2.39E-02
0.4135,2.34E-02
0.414,2.30E-02
0.4145,2.27E-02
0.415,2.25E-02
0.4155,2.23E-02
0.416,2.23E-02
0.4165,2.23E-02
0.417,2.24E-02
0.4175,2.26E-02
0.418,2.29E-02
0.4185,2.32E-02
0.419,2.36E-02
0.4195,2.40E-02
0.42,2.45E-02
0.4205,2.51E-02
0.421,2.57E-02
0.4215,2.64E-02
0.422,2.71E-02
0.4225,2.79E-02
0.423,2.87E-02
0.4235,2.96E-02
0.424,3.05E-02
0.4245,3.14E-02
0.425,3.24E-02
0.4255,3.34E-02
0.426,3.45E-02
0.4265,3.56E-02
0.427,3.67E-02
0.4275,3.78E-02
0.428,3.89E-02
0.4285,4.00E-02
0.429,4.12E-02
0.4295,4.22E-02
0.43,4.33E-02
0.4305,4.43E-02
0.431,4.52E-02
0.4315,4.59E-02
0.432,4.66E-02
0.4325,4.70E-02
0.433,4.72E-02
0.4335,4.70E-02
0.434,4.65E-02
0.4345,4.54E-02
0.435,4.38E-02
0.4355,4.14E-02
0.436,3.82E-02
0.4365,3.39E-02
0.437,2.84E-02
0.4375,2.14E-02
0.438,1.30E-02
0.4385,3.07E-03
0.439,-8.26E-03
0.4395,-2.05E-02
0.44,-3.30E-02
0.4405,-4.44E-02
0.441,-5.33E-02
0.4415,-5.82E-02
0.442,-5.77E-02
0.4425,-5.11E-02
0.443,-3.75E-02
0.4435,-1.62E-02
0.444,1.42E-02
0.4445,5.71E-02
0.445,1.20E-01
0.4455,2.17E-01
0.446,3.71E-01
0.4465,5.34E-01
0.447,5.55E-01
0.4475,4.68E-01
0.448,3.69E-01
0.4485,2.87E-01
0.449,2.24E-01
0.4495,1.75E-01
0.45,1.37E-01
0.4505,1.06E-01
0.451,8.21E-02
0.4515,6.20E-02
0.452,4.50E-02
0.4525,3.04E-02
0.453,1.73E-02
0.4535,5.26E-03
0.454,-6.18E-03
0.4545,-1.75E-02
0.455,-2.91E-02
0.4555,-4.14E-02
0.456,-5.50E-02
0.4565,-7.03E-02
0.457,-8.79E-02
0.4575,-1.08E-01
0.458,-1.31E-01
0.4585,-1.56E-01
0.459,-1.83E-01
0.4595,-2.08E-01
0.46,-2.30E-01
0.4605,-2.46E-01
0.461,-2.54E-01
0.4615,-2.55E-01
0.462,-2.49E-01
0.4625,-2.38E-01
0.463,-2.24E-01
0.4635,-2.08E-01
0.464,-1.90E-01
0.4645,-1.72E-01
0.465,-1.54E-01
0.4655,-1.36E-01
0.466,-1.18E-01
0.4665,-1.01E-01
0.467,-8.51E-02
0.4675,-6.93E-02
0.468,-5.40E-02
0.4685,-3.89E-02
0.469,-2.42E-02
0.4695,-9.60E-03
0.47,4.84E-03
0.4705,1.92E-02
0.471,3.34E-02
0.4715,4.75E-02
0.472,6.14E-02
0.4725,7.48E-02
0.473,8.76E-02
0.4735,9.94E-02
0.474,1.10E-01
0.4745,1.19E-01
0.475,1.26E-01
0.4755,1.30E-01
0.476,1.33E-01
0.4765,1.34E-01
0.477,1.33E-01
0.4775,1.30E-01
0.478,1.26E-01
0.4785,1.22E-01
0.479,1.16E-01
0.4795,1.11E-01
0.48,1.05E-01
0.4805,9.90E-02
0.481,9.33E-02
0.4815,8.77E-02
0.482,8.24E-02
0.4825,7.73E-02
0.483,7.25E-02
0.4835,6.80E-02
0.484,6.39E-02
0.4845,6.00E-02
0.485,5.64E-02
0.4855,5.31E-02
0.486,5.01E-02
0.4865,4.74E-02
0.487,4.49E-02
0.4875,4.26E-02
0.488,4.06E-02
0.4885,3.88E-02
0.489,3.71E-02
0.4895,3.57E-02
0.49,3.45E-02
0.4905,3.34E-02
0.491,3.25E-02
0.4915,3.17E-02
0.492,3.11E-02
0.4925,3.06E-02
0.493,3.02E-02
0.4935,3.00E-02
0.494,2.99E-02
0.4945,2.98E-02
0.495,2.99E-02
0.4955,3.01E-02
0.496,3.04E-02
0.4965,3.07E-02
0.497,3.11E-02
0.4975,3.16E-02
0.498,3.22E-02
0.4985,3.28E-02
0.499,3.35E-02
0.4995,3.42E-02
0.5,3.49E-02
0.5005,3.57E-02
0.501,3.65E-02
0.5015,3.72E-02
0.502,3.79E-02
0.5025,3.85E-02
0.503,3.91E-02
0.5035,3.95E-02
0.504,3.97E-02
0.5045,3.97E-02
0.505,3.94E-02
0.5055,3.88E-02
0.506,3.76E-02
0.5065,3.59E-02
0.507,3.36E-02
0.5075,3.04E-02
0.508,2.62E-02
0.5085,2.09E-02
0.509,1.44E-02
0.5095,6.64E-03
0.51,-2.39E-03
0.5105,-1.25E-02
0.511,-2.31E-02
0.5115,-3.35E-02
0.512,-4.27E-02
0.5125,-4.93E-02
0.513,-5.21E-02
0.5135,-4.99E-02
0.514,-4.20E-02
0.5145,-2.75E-02
0.515,-5.66E-03
0.5155,2.53E-02
0.516,6.87E-02
0.5165,1.32E-01
0.517,2.29E-01
0.5175,3.76E-01
0.518,5.20E-01
0.5185,5.35E-01
0.519,4.53E-01
0.5195,3.60E-01
0.52,2.81E-01
0.5205,2.20E-01
0.521,1.72E-01
0.5215,1.35E-01
0.522,1.05E-01
0.5225,8.08E-02
0.523,6.08E-02
0.5235,4.37E-02
0.524,2.88E-02
0.5245,1.52E-02
0.525,2.29E-03
0.5255,-1.04E-02
0.526,-2.35E-02
0.5265,-3.75E-02
0.527,-5.32E-02
0.5275,-7.13E-02
0.528,-9.23E-02
0.5285,-1.17E-01
0.529,-1.45E-01
0.5295,-1.76E-01
0.53,-2.07E-01
0.5305,-2.35E-01
0.531,-2.56E-01
0.5315,-2.69E-01
0.532,-2.71E-01
0.5325,-2.66E-01
0.533,-2.54E-01
0.5335,-2.39E-01
0.534,-2.21E-01
0.5345,-2.01E-01
0.535,-1.81E-01
0.5355,-1.62E-01
0.536,-1.42E-01
0.5365,-1.24E-01
0.537,-1.06E-01
0.5375,-8.86E-02
0.538,-7.18E-02
0.5385,-5.56E-02
0.539,-3.97E-02
0.5395,-2.41E-02
0.54,-8.60E-03
0.5405,6.77E-03
0.541,2.21E-02
0.5415,3.73E-02
0.542,5.25E-02
0.5425,6.73E-02
0.543,8.17E-02
0.5435,9.52E-02
0.544,1.08E-01
0.5445,1.18E-01
0.545,1.27E-01
0.5455,1.34E-01
0.546,1.38E-01
0.5465,1.40E-01
0.547,1.40E-01
0.5475,1.38E-01
0.548,1.34E-01
0.5485,1.30E-01
0.549,1.25E-01
0.5495,1.19E-01
0.55,1.13E-01
0.5505,1.06E-01
0.551,1.00E-01
0.5515,9.43E-02
0.552,8.85E-02
0.5525,8.29E-02
0.553,7.76E-02
0.5535,7.26E-02
0.554,6.79E-02
0.5545,6.35E-02
0.555,5.94E-02
0.5555,5.56E-02
0.556,5.20E-02
0.5565,4.88E-02
0.557,4.58E-02
0.5575,4.30E-02
0.558,4.05E-02
0.5585,3.82E-02
0.559,3.61E-02
0.5595,3.42E-02
0.56,3.25E-02
0.5605,3.10E-02
0.561,2.96E-02
0.5615,2.84E-02
0.562,2.73E-02
0.5625,2.64E-02
0.563,2.56E-02
0.5635,2.49E-02
0.564,2.44E-02
0.5645,2.39E-02
0.565,2.36E-02
0.5655,2.33E-02
0.566,2.31E-02
0.5665,2.31E-02
0.567,2.31E-02
0.5675,2.32E-02
0.568,2.33E-02
0.5685,2.36E-02
0.569,2.39E-02
0.5695,2.42E-02
0.57,2.47E-02
0.5705,2.52E-02
0.571,2.57E-02
0.5715,2.63E-02
0.572,2.70E-02
0.5725,2.77E-02
0.573,2.85E-02
0.5735,2.93E-02
0.574,3.02E-02
0.5745,3.11E-02
0.575,3.21E-02
0.5755,3.31E-02
0.576,3.41E-02
0.5765,3.51E-02
0.577,3.62E-02
0.5775,3.73E-02
0.578,3.84E-02
0.5785,3.95E-02
0.579,4.06E-02
0.5795,4.17E-02
0.58,4.27E-02
0.5805,4.37E-02
0.581,4.46E-02
0.5815,4.54E-02
0.582,4.60E-02
0.5825,4.65E-02
0.583,4.67E-02
0.5835,4.66E-02
0.584,4.61E-02
0.5845,4.52E-02
0.585,4.36E-02
0.5855,4.14E-02
0.586,3.83E-02
0.5865,3.41E-02
0.587,2.88E-02
0.5875,2.21E-02
0.588,1.40E-02
0.5885,4.28E-03
0.589,-6.79E-03
0.5895,-1.89E-02
0.59,-3.12E-02
0.5905,-4.27E-02
0.591,-5.19E-02
0.5915,-5.73E-02
0.592,-5.75E-02
0.5925,-5.17E-02
0.593,-3.91E-02
0.5935,-1.89E-02
0.594,1.02E-02
